station,total,nLesbian,pLesbian,nHask,pHask,nFask,pFask,nHomo,pHomo,label,x,y,lengthmean
abbesses,10,0.0,0.0,4.0,0.4,5.0,0.5,1.0,0.1,Abbesses,20.145,53.133,479.9
alesia,16,1.0,0.0625,2.0,0.125,13.0,0.8125,0.0,0.0,Alésia,19.439,49.748,397.5
alexandre-dumas,11,0.0,0.0,1.0,0.09090909090909091,9.0,0.8181818181818182,1.0,0.09090909090909091,Alexandre Dumas,23.508,51.464,375.0
alma-marceau,2,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,Alma — Marceau,17.91,51.947,564.0
anatole-france,12,0.0,0.0,3.0,0.25,7.0,0.5833333333333334,2.0,0.16666666666666666,Anatole France,16.941,53.597,474.6666666666667
anvers,10,0.0,0.0,2.0,0.2,7.0,0.7,1.0,0.1,Anvers,20.486,53.042,304.8
argentine,10,0.0,0.0,4.0,0.4,5.0,0.5,1.0,0.1,Argentine,17.175,52.613,436.9
arts-et-metiers,14,0.0,0.0,4.0,0.2857142857142857,6.0,0.42857142857142855,4.0,0.2857142857142857,Arts et Métiers,21.209,51.999,245.57142857142858
auber,38,0.0,0.0,8.0,0.21052631578947367,27.0,0.7105263157894737,3.0,0.07894736842105263,Auber,19.629,52.404,588.3421052631579
aubervilliers-pantin-quatre-chemins,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Aubervilliers — Pantin — Quatre Chemins,23.686,54.587,492.0
avenue-du-president-kennedy,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Avenue du Président Kennedy,16.63,51.278,792.0
avenue-emile-zola,3,0.0,0.0,1.0,0.3333333333333333,2.0,0.6666666666666666,0.0,0.0,Avenue Émile Zola,17.568,50.893,182.0
avron,4,0.0,0.0,1.0,0.25,3.0,0.75,0.0,0.0,Avron,23.749,51.151,385.5
balard,5,0.0,0.0,2.0,0.4,3.0,0.6,0.0,0.0,Balard,16.525,50.22,574.0
barbes-rochechouart,29,1.0,0.034482758620689655,7.0,0.2413793103448276,21.0,0.7241379310344828,0.0,0.0,Barbès — Rochechouart,20.801,53.094,435.0344827586207
bastille,53,0.0,0.0,16.0,0.3018867924528302,27.0,0.5094339622641509,10.0,0.18867924528301888,Bastille,22.019,51.195,332.1509433962264
bel-air,10,0.0,0.0,3.0,0.3,5.0,0.5,2.0,0.2,Bel-Air,23.899,50.554,468.8
belleville,16,2.0,0.125,6.0,0.375,8.0,0.5,0.0,0.0,Belleville,22.462,52.401,464.0
berault,6,0.0,0.0,3.0,0.5,2.0,0.3333333333333333,1.0,0.16666666666666666,Bérault,25.559,50.806,263.1666666666667
bercy,25,0.0,0.0,7.0,0.28,17.0,0.68,1.0,0.04,Bercy,22.591,50.502,399.36
bibliotheque-francois-mitterand,23,0.0,0.0,5.0,0.21739130434782608,16.0,0.6956521739130435,2.0,0.08695652173913043,Bibliothèque François Mitterand,22.461,49.912,521.6086956521739
bir-hakeim,4,0.0,0.0,1.0,0.25,3.0,0.75,0.0,0.0,Bir-Hakeim,17.194,51.313,403.0
blanche,7,0.0,0.0,3.0,0.42857142857142855,2.0,0.2857142857142857,2.0,0.2857142857142857,Blanche,19.791,53.101,509.14285714285717
bobigny-pablo-picasso,2,0.0,0.0,1.0,0.5,0.0,0.0,1.0,0.5,Bobigny — Pablo Picasso,25.398,53.806,409.5
boissiere,3,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,Boissière,17.233,52.08,463.0
bonne-nouvelle,14,0.0,0.0,4.0,0.2857142857142857,9.0,0.6428571428571429,1.0,0.07142857142857142,Bonne Nouvelle,20.681,52.317,426.57142857142856
botzaris,2,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,Botzaris,23.206,52.847,469.0
boucicaut,2,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,Boucicaut,17.113,50.536,311.5
boulevard-victor-pont-du-garigliano,3,0.0,0.0,1.0,0.3333333333333333,2.0,0.6666666666666666,0.0,0.0,Boulevard Victor — Pont du Garigliano,16.061,50.411,234.66666666666666
boulogne-jean-jaures,8,0.0,0.0,1.0,0.125,7.0,0.875,0.0,0.0,Boulogne — Jean Jaurès,14.163,50.589,420.75
boulogne-pont-de-saint-cloud,4,0.0,0.0,2.0,0.5,2.0,0.5,0.0,0.0,Boulogne — Pont de Saint-Cloud,13.548,50.519,319.75
bourse,5,0.0,0.0,2.0,0.4,3.0,0.6,0.0,0.0,Bourse,20.289,52.197,287.6
brochant,6,0.0,0.0,1.0,0.16666666666666666,3.0,0.5,2.0,0.3333333333333333,Brochant,19.047,53.51,453.3333333333333
buzenval,3,0.0,0.0,2.0,0.6666666666666666,1.0,0.3333333333333333,0.0,0.0,Buzenval,23.926,51.183,169.66666666666666
cadet,5,0.0,0.0,0.0,0.0,4.0,0.8,1.0,0.2,Cadet,20.51,52.634,705.6
cambronne,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Cambronne,18.018,50.922,382.0
campo-formio,4,0.0,0.0,1.0,0.25,3.0,0.75,0.0,0.0,Campo-Formio,21.346,50.205,503.5
cardinal-lemoine,2,0.0,0.0,1.0,0.5,1.0,0.5,0.0,0.0,Cardinal Lemoine,20.926,50.874,255.5
censier-daubenton,10,0.0,0.0,3.0,0.3,7.0,0.7,0.0,0.0,Censier — Daubenton,20.931,50.475,477.4
champ-de-mars-tour-eiffel,6,0.0,0.0,1.0,0.16666666666666666,5.0,0.8333333333333334,0.0,0.0,Champ de Mars — Tour Eiffel,17.289,51.527,317.5
champs-elysees-clemenceau,34,0.0,0.0,9.0,0.2647058823529412,21.0,0.6176470588235294,4.0,0.11764705882352941,Champs-Élysées — Clemenceau,18.678,52.125,491.2647058823529
charenton-ecoles,7,0.0,0.0,1.0,0.14285714285714285,5.0,0.7142857142857143,1.0,0.14285714285714285,Charenton — Écoles,24.696,49.348,444.57142857142856
charles-de-gaulle-etoile,73,0.0,0.0,27.0,0.3698630136986301,41.0,0.5616438356164384,5.0,0.0684931506849315,Charles de Gaulle — Étoile,17.617,52.515,531.9041095890411
charles-michels,5,0.0,0.0,4.0,0.8,1.0,0.2,0.0,0.0,Charles Michels,16.99,50.868,234.6
charonne,6,1.0,0.16666666666666666,4.0,0.6666666666666666,0.0,0.0,1.0,0.16666666666666666,Charonne,22.974,51.351,435.5
chateau-deau,5,0.0,0.0,1.0,0.2,3.0,0.6,1.0,0.2,Château d'Eau,21.195,52.408,263.0
chateau-de-vincennes,7,0.0,0.0,1.0,0.14285714285714285,5.0,0.7142857142857143,1.0,0.14285714285714285,Château de Vincennes,26.192,50.745,493.2857142857143
chateau-landon,3,0.0,0.0,2.0,0.6666666666666666,1.0,0.3333333333333333,0.0,0.0,Château-Landon,21.579,52.813,372.0
chateau-rouge,11,0.0,0.0,3.0,0.2727272727272727,7.0,0.6363636363636364,1.0,0.09090909090909091,Château Rouge,20.809,53.314,483.1818181818182
chatelet,113,2.0,0.017699115044247787,27.0,0.23893805309734514,66.0,0.584070796460177,18.0,0.1592920353982301,Châtelet,20.633,51.613,486.6371681415929
chatelet-les-halles,110,0.0,0.0,27.0,0.24545454545454545,72.0,0.6545454545454545,11.0,0.1,Châtelet — Les Halles,20.689,51.738,499.3
chatillon-montrouge,13,0.0,0.0,2.0,0.15384615384615385,10.0,0.7692307692307693,1.0,0.07692307692307693,Châtillon — Montrouge,17.931,48.711,544.6153846153846
chaussee-dantin-la-fayette,21,0.0,0.0,4.0,0.19047619047619047,13.0,0.6190476190476191,4.0,0.19047619047619047,Chaussée d'Antin — La Fayette,19.834,52.451,361.57142857142856
chemin-vert,2,0.0,0.0,1.0,0.5,1.0,0.5,0.0,0.0,Chemin Vert,21.926,51.528,281.5
cite,4,0.0,0.0,2.0,0.5,2.0,0.5,0.0,0.0,Cité,20.695,51.4,499.75
cite-universitaire,17,0.0,0.0,3.0,0.17647058823529413,14.0,0.8235294117647058,0.0,0.0,Cité Universitaire,20.166,49.298,474.52941176470586
cluny-la-sorbonne,5,0.0,0.0,2.0,0.4,3.0,0.6,0.0,0.0,Cluny — La Sorbonne,20.432,51.152,505.8
colonel-fabien,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Colonel Fabien,22.089,52.731,612.0
commerce,3,0.0,0.0,0.0,0.0,2.0,0.6666666666666666,1.0,0.3333333333333333,Commerce,17.478,50.759,487.3333333333333
concorde,44,0.0,0.0,9.0,0.20454545454545456,30.0,0.6818181818181818,5.0,0.11363636363636363,Concorde,19.15,52.06,503.22727272727275
convention,11,0.0,0.0,4.0,0.36363636363636365,7.0,0.6363636363636364,0.0,0.0,Convention,17.627,50.305,350.90909090909093
corentin-cariou,2,0.0,0.0,1.0,0.5,1.0,0.5,0.0,0.0,Corentin Cariou,22.789,53.77,226.0
corentin-celton,4,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,Corentin Celton,16.579,49.693,517.5
corvisart,6,0.0,0.0,1.0,0.16666666666666666,4.0,0.6666666666666666,1.0,0.16666666666666666,Corvisart,20.858,49.861,253.83333333333334
courcelles,2,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,Courcelles,18.032,52.819,485.0
couronnes,8,0.0,0.0,4.0,0.5,4.0,0.5,0.0,0.0,Couronnes,22.691,52.215,426.875
cour-saint-emilion,11,0.0,0.0,4.0,0.36363636363636365,7.0,0.6363636363636364,0.0,0.0,Cour Saint-Emilion,23.007,50.216,533.0
crimee,2,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,Crimée,22.449,53.512,723.0
croix-de-chavaux,6,0.0,0.0,3.0,0.5,2.0,0.3333333333333333,1.0,0.16666666666666666,Croix de Chavaux,26.026,51.554,552.5
danube,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Danube,23.422,52.999,480.0
daumesnil,25,0.0,0.0,4.0,0.16,18.0,0.72,3.0,0.12,Daumesnil,23.594,50.444,483.16
denfert-rochereau,65,0.0,0.0,17.0,0.26153846153846155,43.0,0.6615384615384615,5.0,0.07692307692307693,Denfert-Rochereau,19.76,50.125,441.33846153846156
dugommier,6,0.0,0.0,2.0,0.3333333333333333,4.0,0.6666666666666666,0.0,0.0,Dugommier,23.252,50.418,677.6666666666666
dupleix,3,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,Dupleix,17.454,51.098,257.6666666666667
duroc,10,0.0,0.0,1.0,0.1,9.0,0.9,0.0,0.0,Duroc,18.846,50.882,534.3
ecole-militaire,9,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,École Militaire,18.18,51.337,487.55555555555554
ecole-veterinaire-de-maisons-alfort,6,0.0,0.0,3.0,0.5,2.0,0.3333333333333333,1.0,0.16666666666666666,École Vétérinaire de Maisons-Alfort,25.068,48.998,550.1666666666666
edgar-quinet,5,0.0,0.0,1.0,0.2,4.0,0.8,0.0,0.0,Edgar Quinet,19.36,50.53,315.8
eglise-de-pantin,4,0.0,0.0,0.0,0.0,2.0,0.5,2.0,0.5,Église de Pantin,24.664,53.673,301.75
esplanade-de-la-defense,15,0.0,0.0,2.0,0.13333333333333333,12.0,0.8,1.0,0.06666666666666667,Esplanade de La Défense,14.801,53.367,395.06666666666666
etienne-marcel,5,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,Étienne Marcel,20.788,51.899,486.4
europe,3,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,Europe,19.231,52.804,268.6666666666667
exelmans,2,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,Exelmans,15.448,50.655,325.5
faidherbe-chaligny,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Faidherbe — Chaligny,22.905,51.081,862.0
falguiere,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Falguière,18.9,50.738,511.0
felix-faure,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Félix Faure,17.366,50.637,662.0
filles-du-calvaire,6,0.0,0.0,1.0,0.16666666666666666,5.0,0.8333333333333334,0.0,0.0,Filles du Calvaire,21.846,51.856,254.5
franklin-d-roosevelt,42,0.0,0.0,8.0,0.19047619047619047,30.0,0.7142857142857143,4.0,0.09523809523809523,Franklin D. Roosevelt,18.41,52.21,493.5
gabriel-peri,3,0.0,0.0,2.0,0.6666666666666666,1.0,0.3333333333333333,0.0,0.0,Gabriel Péri,17.59,54.999,143.33333333333334
gaite,6,0.0,0.0,3.0,0.5,3.0,0.5,0.0,0.0,Gaîté,19.185,50.396,458.8333333333333
gallieni,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Gallieni,24.865,51.965,541.0
gambetta,22,0.0,0.0,6.0,0.2727272727272727,12.0,0.5454545454545454,4.0,0.18181818181818182,Gambetta,23.648,51.969,445.3636363636364
gare-dausterlitz,35,1.0,0.02857142857142857,12.0,0.34285714285714286,19.0,0.5428571428571428,3.0,0.08571428571428572,Gare d'Austerlitz,21.819,50.632,317.3142857142857
gare-de-lest,71,0.0,0.0,22.0,0.30985915492957744,46.0,0.647887323943662,3.0,0.04225352112676056,Gare de l'Est,21.331,52.644,524.0281690140845
gare-de-lyon,110,1.0,0.00909090909090909,21.0,0.19090909090909092,83.0,0.7545454545454545,5.0,0.045454545454545456,Gare de Lyon,22.194,50.752,489.1818181818182
gare-du-nord,86,1.0,0.011627906976744186,28.0,0.32558139534883723,48.0,0.5581395348837209,9.0,0.10465116279069768,Gare du Nord,21.123,52.871,449.4651162790698
garibaldi,3,0.0,0.0,0.0,0.0,2.0,0.6666666666666666,1.0,0.3333333333333333,Garibaldi,19.76,54.458,259.0
george-v,4,0.0,0.0,2.0,0.5,2.0,0.5,0.0,0.0,George V,17.876,52.39,620.5
glaciere,7,0.0,0.0,3.0,0.42857142857142855,4.0,0.5714285714285714,0.0,0.0,Glacière,20.447,49.941,396.14285714285717
grands-boulevards,10,0.0,0.0,2.0,0.2,7.0,0.7,1.0,0.1,Grands Boulevards,20.423,52.361,413.5
guy-moquet,12,0.0,0.0,3.0,0.25,6.0,0.5,3.0,0.25,Guy Môquet,19.489,53.653,449.3333333333333
haussmann-saint-lazare,10,0.0,0.0,3.0,0.3,7.0,0.7,0.0,0.0,Haussmann — Saint-Lazare,19.447,52.564,572.4
havre-caumartin,29,0.0,0.0,8.0,0.27586206896551724,14.0,0.4827586206896552,7.0,0.2413793103448276,Havre — Caumartin,19.537,52.486,399.7586206896552
hoche,3,0.0,0.0,2.0,0.6666666666666666,1.0,0.3333333333333333,0.0,0.0,Hoche,24.004,53.547,409.0
hotel-de-ville,30,0.0,0.0,9.0,0.3,19.0,0.6333333333333333,2.0,0.06666666666666667,Hôtel de Ville,20.93,51.519,494.8333333333333
iena,3,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,Iéna,17.477,51.959,363.6666666666667
invalides,35,0.0,0.0,5.0,0.14285714285714285,25.0,0.7142857142857143,5.0,0.14285714285714285,Invalides,18.705,51.783,387.85714285714283
issy,2,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,Issy,15.363,49.255,418.0
issy-val-de-seine,7,0.0,0.0,3.0,0.42857142857142855,4.0,0.5714285714285714,0.0,0.0,Issy — Val de Seine,15.631,49.857,291.85714285714283
jacques-bonsergent,4,0.0,0.0,1.0,0.25,3.0,0.75,0.0,0.0,Jacques Bonsergent,21.497,52.33,254.0
jasmin,5,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,Jasmin,15.928,51.223,394.8
jaures,22,0.0,0.0,12.0,0.5454545454545454,6.0,0.2727272727272727,4.0,0.18181818181818182,Jaurès,22.058,52.968,306.0
javel,2,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,Javel,16.465,50.856,605.0
javel-andre-citroen,7,0.0,0.0,3.0,0.42857142857142855,2.0,0.2857142857142857,2.0,0.2857142857142857,Javel — André Citroën,16.48,50.839,505.14285714285717
jules-joffrin,2,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,Jules Joffrin,20.525,53.618,603.0
jussieu,12,1.0,0.08333333333333333,1.0,0.08333333333333333,9.0,0.75,1.0,0.08333333333333333,Jussieu,21.126,50.847,361.0833333333333
kleber,3,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,Kléber,17.429,52.348,302.0
la-chapelle,16,0.0,0.0,6.0,0.375,8.0,0.5,2.0,0.125,La Chapelle,21.456,53.137,454.75
la-defense,87,0.0,0.0,24.0,0.27586206896551724,62.0,0.7126436781609196,1.0,0.011494252873563218,La Défense,14.18,53.563,467.6666666666667
la-fourche,13,0.0,0.0,5.0,0.38461538461538464,5.0,0.38461538461538464,3.0,0.23076923076923078,La Fourche,19.376,53.321,360.3076923076923
la-motte-picquet-grenelle,46,1.0,0.021739130434782608,16.0,0.34782608695652173,27.0,0.5869565217391305,2.0,0.043478260869565216,La Motte-Picquet — Grenelle,17.775,50.997,437.2173913043478
la-muette,5,0.0,0.0,1.0,0.2,4.0,0.8,0.0,0.0,La Muette,16.289,51.556,405.4
la-tour-maubourg,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,La Tour-Maubourg,18.487,51.541,156.0
laumiere,3,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,Laumière,22.614,53.18,512.3333333333334
ledru-rollin,3,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,Ledru-Rollin,22.412,51.148,417.3333333333333
le-kremlin-bicetre,7,0.0,0.0,1.0,0.14285714285714285,6.0,0.8571428571428571,0.0,0.0,Le Kremlin-Bicêtre,21.568,48.66,390.42857142857144
le-peletier,5,1.0,0.2,1.0,0.2,3.0,0.6,0.0,0.0,Le Peletier,20.237,52.563,255.4
les-gobelins,9,0.0,0.0,4.0,0.4444444444444444,4.0,0.4444444444444444,1.0,0.1111111111111111,Les Gobelins,20.99,50.225,469.3333333333333
les-halles,29,0.0,0.0,10.0,0.3448275862068966,15.0,0.5172413793103449,4.0,0.13793103448275862,Les Halles,20.664,51.832,422.3103448275862
les-sablons,6,0.0,0.0,3.0,0.5,2.0,0.3333333333333333,1.0,0.16666666666666666,Les Sablons,16.125,52.945,403.0
liberte,6,0.0,0.0,3.0,0.5,3.0,0.5,0.0,0.0,Liberté,24.261,49.625,512.5
liege,6,0.0,0.0,1.0,0.16666666666666666,4.0,0.6666666666666666,1.0,0.16666666666666666,Liège,19.46,52.85,405.6666666666667
louis-blanc,4,0.0,0.0,1.0,0.25,2.0,0.5,1.0,0.25,Louis Blanc,21.776,52.964,357.75
louise-michel,12,0.0,0.0,3.0,0.25,6.0,0.5,3.0,0.25,Louise Michel,17.115,53.404,296.8333333333333
louvre-rivoli,7,0.0,0.0,2.0,0.2857142857142857,5.0,0.7142857142857143,0.0,0.0,Louvre — Rivoli,20.314,51.717,559.1428571428571
luxembourg,7,0.0,0.0,4.0,0.5714285714285714,3.0,0.42857142857142855,0.0,0.0,Luxembourg,20.259,50.867,508.0
mabillon,8,0.0,0.0,2.0,0.25,6.0,0.75,0.0,0.0,Mabillon,19.992,51.251,472.5
madeleine,34,0.0,0.0,7.0,0.20588235294117646,26.0,0.7647058823529411,1.0,0.029411764705882353,Madeleine,19.335,52.24,476.79411764705884
magenta,6,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,Magenta,21.478,52.636,554.0
mairie-de-clichy,9,0.0,0.0,5.0,0.5555555555555556,4.0,0.4444444444444444,0.0,0.0,Mairie de Clichy,18.214,54.246,315.0
mairie-de-montreuil,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Mairie de Montreuil,26.34,51.82,197.0
